idCiudad,Numero,Nombre,Estado_idEstado
1,1,AGUASCALIENTES,1
2,2,ASIENTOS,1
3,3,CALVILLO,1
4,4,COSÍO,1
5,5,JESÚS MARÍA,1
6,6,PABELLÓN DE ARTEAGA,1
7,7,RINCÓN DE ROMOS,1
8,8,SAN JOSÉ DE GRACIA,1
9,9,TEPEZALÁ,1
10,10,EL LLANO,1
11,11,SAN FRANCISCO DE LOS ROMO,1
12,1,ENSENADA,2
13,2,MEXICALI,2
14,3,TECATE,2
15,4,TIJUANA,2
16,5,PLAYAS DE ROSARITO,2
17,1,COMONDÚ,3
18,2,MULEGÉ,3
19,3,LA PAZ,3
20,8,LOS CABOS,3
21,9,LORETO,3
22,1,CALKINÍ,4
23,2,CAMPECHE,4
24,3,CARMEN,4
25,4,CHAMPOTÓN,4
26,5,HECELCHAKÁN,4
27,6,HOPELCHÉN,4
28,7,PALIZADA,4
29,8,TENABO,4
30,9,ESCÁRCEGA,4
31,10,CALAKMUL,4
32,11,CANDELARIA,4
33,1,ABASOLO,5
34,2,ACUÑA,5
35,3,ALLENDE,5
36,4,ARTEAGA,5
37,5,CANDELA,5
38,6,CASTAÑOS,5
39,7,CUATRO CIÉNEGAS,5
40,8,ESCOBEDO,5
41,9,FRANCISCO I. MADERO,5
42,10,FRONTERA,5
43,11,GENERAL CEPEDA,5
44,12,GUERRERO,5
45,13,HIDALGO,5
46,14,JIMÉNEZ,5
47,15,JUÁREZ,5
48,16,LAMADRID,5
49,17,MATAMOROS,5
50,18,MONCLOVA,5
51,19,MORELOS,5
52,20,MÚZQUIZ,5
53,21,NADADORES,5
54,22,NAVA,5
55,23,OCAMPO,5
56,24,PARRAS,5
57,25,PIEDRAS NEGRAS,5
58,26,PROGRESO,5
59,27,RAMOS ARIZPE,5
60,28,SABINAS,5
61,29,SACRAMENTO,5
62,30,SALTILLO,5
63,31,SAN BUENAVENTURA,5
64,32,SAN JUAN DE SABINAS,5
65,33,SAN PEDRO,5
66,34,SIERRA MOJADA,5
67,35,TORREÓN,5
68,36,VIESCA,5
69,37,VILLA UNIÓN,5
70,38,ZARAGOZA,5
71,1,ARMERÍA,6
72,2,COLIMA,6
73,3,COMALA,6
74,4,COQUIMATLÁN,6
75,5,CUAUHTÉMOC,6
76,6,IXTLAHUACÁN,6
77,7,MANZANILLO,6
78,8,MINATITLÁN,6
79,9,TECOMÁN,6
80,10,VILLA DE ÁLVAREZ,6
81,1,ACACOYAGUA,7
82,2,ACALA,7
83,3,ACAPETAHUA,7
84,4,ALTAMIRANO,7
85,5,AMATÁN,7
86,6,AMATENANGO DE LA FRONTERA,7
87,7,AMATENANGO DEL VALLE,7
88,8,ANGEL ALBINO CORZO,7
89,9,ARRIAGA,7
90,10,BEJUCAL DE OCAMPO,7
91,11,BELLA VISTA,7
92,12,BERRIOZÁBAL,7
93,13,BOCHIL,7
94,14,EL BOSQUE,7
95,15,CACAHOATÁN,7
96,16,CATAZAJÁ,7
97,17,CINTALAPA,7
98,18,COAPILLA,7
99,19,COMITÁN DE DOMÍNGUEZ,7
100,20,LA CONCORDIA,7
101,21,COPAINALÁ,7
102,22,CHALCHIHUITÁN,7
103,23,CHAMULA,7
104,24,CHANAL,7
105,25,CHAPULTENANGO,7
106,26,CHENALHÓ,7
107,27,CHIAPA DE CORZO,7
108,28,CHIAPILLA,7
109,29,CHICOASÉN,7
110,30,CHICOMUSELO,7
111,31,CHILÓN,7
112,32,ESCUINTLA,7
113,33,FRANCISCO LEÓN,7
114,34,FRONTERA COMALAPA,7
115,35,FRONTERA HIDALGO,7
116,36,LA GRANDEZA,7
117,37,HUEHUETÁN,7
118,38,HUIXTÁN,7
119,39,HUITIUPÁN,7
120,40,HUIXTLA,7
121,41,LA INDEPENDENCIA,7
122,42,IXHUATÁN,7
123,43,IXTACOMITÁN,7
124,44,IXTAPA,7
125,45,IXTAPANGAJOYA,7
126,46,JIQUIPILAS,7
127,47,JITOTOL,7
128,48,JUÁREZ,7
129,49,LARRÁINZAR,7
130,50,LA LIBERTAD,7
131,51,MAPASTEPEC,7
132,52,LAS MARGARITAS,7
133,53,MAZAPA DE MADERO,7
134,54,MAZATÁN,7
135,55,METAPA,7
136,56,MITONTIC,7
137,57,MOTOZINTLA,7
138,58,NICOLÁS RUÍZ,7
139,59,OCOSINGO,7
140,60,OCOTEPEC,7
141,61,OCOZOCOAUTLA DE ESPINOSA,7
142,62,OSTUACÁN,7
143,63,OSUMACINTA,7
144,64,OXCHUC,7
145,65,PALENQUE,7
146,66,PANTELHÓ,7
147,67,PANTEPEC,7
148,68,PICHUCALCO,7
149,69,PIJIJIAPAN,7
150,70,EL PORVENIR,7
151,71,VILLA COMALTITLÁN,7
152,72,PUEBLO NUEVO SOLISTAHUACÁN,7
153,73,RAYÓN,7
154,74,REFORMA,7
155,75,LAS ROSAS,7
156,76,SABANILLA,7
157,77,SALTO DE AGUA,7
158,78,SAN CRISTÓBAL DE LAS CASAS,7
159,79,SAN FERNANDO,7
160,80,SILTEPEC,7
161,81,SIMOJOVEL,7
162,82,SITALÁ,7
163,83,SOCOLTENANGO,7
164,84,SOLOSUCHIAPA,7
165,85,SOYALÓ,7
166,86,SUCHIAPA,7
167,87,SUCHIATE,7
168,88,SUNUAPA,7
169,89,TAPACHULA,7
170,90,TAPALAPA,7
171,91,TAPILULA,7
172,92,TECPATÁN,7
173,93,TENEJAPA,7
174,94,TEOPISCA,7
175,96,TILA,7
176,97,TONALÁ,7
177,98,TOTOLAPA,7
178,99,LA TRINITARIA,7
179,100,TUMBALÁ,7
180,101,TUXTLA GUTIÉRREZ,7
181,102,TUXTLA CHICO,7
182,103,TUZANTÁN,7
183,104,TZIMOL,7
184,105,UNIÓN JUÁREZ,7
185,106,VENUSTIANO CARRANZA,7
186,107,VILLA CORZO,7
187,108,VILLAFLORES,7
188,109,YAJALÓN,7
189,110,SAN LUCAS,7
190,111,ZINACANTÁN,7
191,112,SAN JUAN CANCUC,7
192,113,ALDAMA,7
193,114,BENEMÉRITO DE LAS AMÉRICAS,7
194,115,MARAVILLA TENEJAPA,7
195,116,MARQUÉS DE COMILLAS,7
196,117,MONTECRISTO DE GUERRERO,7
197,118,SAN ANDRÉS DURAZNAL,7
198,119,SANTIAGO EL PINAR,7
199,120,CAPITÁN LUIS ÁNGEL VIDAL,7
200,121,RINCÓN CHAMULA SAN PEDRO,7
201,122,EL PARRAL,7
202,123,EMILIANO ZAPATA,7
203,124,MEZCALAPA,7
204,1,AHUMADA,8
205,2,ALDAMA,8
206,3,ALLENDE,8
207,4,AQUILES SERDÁN,8
208,5,ASCENSIÓN,8
209,6,BACHÍNIVA,8
210,7,BALLEZA,8
211,8,BATOPILAS DE MANUEL GÓMEZ MORÍN,8
212,9,BOCOYNA,8
213,10,BUENAVENTURA,8
214,11,CAMARGO,8
215,12,CARICHÍ,8
216,13,CASAS GRANDES,8
217,14,CORONADO,8
218,15,COYAME DEL SOTOL,8
219,16,LA CRUZ,8
220,17,CUAUHTÉMOC,8
221,18,CUSIHUIRIACHI,8
222,19,CHIHUAHUA,8
223,20,CHÍNIPAS,8
224,21,DELICIAS,8
225,22,DR. BELISARIO DOMÍNGUEZ,8
226,23,GALEANA,8
227,24,SANTA ISABEL,8
228,25,GÓMEZ FARÍAS,8
229,26,GRAN MORELOS,8
230,27,GUACHOCHI,8
231,28,GUADALUPE,8
232,29,GUADALUPE Y CALVO,8
233,30,GUAZAPARES,8
234,31,GUERRERO,8
235,32,HIDALGO DEL PARRAL,8
236,33,HUEJOTITÁN,8
237,34,IGNACIO ZARAGOZA,8
238,35,JANOS,8
239,36,JIMÉNEZ,8
240,37,JUÁREZ,8
241,38,JULIMES,8
242,39,LÓPEZ,8
243,40,MADERA,8
244,41,MAGUARICHI,8
245,42,MANUEL BENAVIDES,8
246,43,MATACHÍ,8
247,44,MATAMOROS,8
248,45,MEOQUI,8
249,46,MORELOS,8
250,47,MORIS,8
251,48,NAMIQUIPA,8
252,49,NONOAVA,8
253,50,NUEVO CASAS GRANDES,8
254,51,OCAMPO,8
255,52,OJINAGA,8
256,53,PRAXEDIS G. GUERRERO,8
257,54,RIVA PALACIO,8
258,55,ROSALES,8
259,56,ROSARIO,8
260,57,SAN FRANCISCO DE BORJA,8
261,58,SAN FRANCISCO DE CONCHOS,8
262,59,SAN FRANCISCO DEL ORO,8
263,60,SANTA BÁRBARA,8
264,61,SATEVÓ,8
265,62,SAUCILLO,8
266,63,TEMÓSACHIC,8
267,64,EL TULE,8
268,65,URIQUE,8
269,66,URUACHI,8
270,67,VALLE DE ZARAGOZA,8
271,2,AZCAPOTZALCO,9
272,3,COYOACÁN,9
273,4,CUAJIMALPA DE MORELOS,9
274,5,GUSTAVO A. MADERO,9
275,6,IZTACALCO,9
276,7,IZTAPALAPA,9
277,8,LA MAGDALENA CONTRERAS,9
278,9,MILPA ALTA,9
279,10,ÁLVARO OBREGÓN,9
280,11,TLÁHUAC,9
281,12,TLALPAN,9
282,13,XOCHIMILCO,9
283,14,BENITO JUÁREZ,9
284,15,CUAUHTÉMOC,9
285,16,MIGUEL HIDALGO,9
286,17,VENUSTIANO CARRANZA,9
287,1,CANATLÁN,10
288,2,CANELAS,10
289,3,CONETO DE COMONFORT,10
290,4,CUENCAMÉ,10
291,5,DURANGO,10
292,6,GENERAL SIMÓN BOLÍVAR,10
293,7,GÓMEZ PALACIO,10
294,8,GUADALUPE VICTORIA,10
295,9,GUANACEVÍ,10
296,10,HIDALGO,10
297,11,INDÉ,10
298,12,LERDO,10
299,13,MAPIMÍ,10
300,14,MEZQUITAL,10
301,15,NAZAS,10
302,16,NOMBRE DE DIOS,10
303,17,OCAMPO,10
304,18,EL ORO,10
305,19,OTÁEZ,10
306,20,PÁNUCO DE CORONADO,10
307,21,PEÑÓN BLANCO,10
308,22,POANAS,10
309,23,PUEBLO NUEVO,10
310,24,RODEO,10
311,25,SAN BERNARDO,10
312,26,SAN DIMAS,10
313,27,SAN JUAN DE GUADALUPE,10
314,28,SAN JUAN DEL RÍO,10
315,29,SAN LUIS DEL CORDERO,10
316,30,SAN PEDRO DEL GALLO,10
317,31,SANTA CLARA,10
318,32,SANTIAGO PAPASQUIARO,10
319,33,SÚCHIL,10
320,34,TAMAZULA,10
321,35,TEPEHUANES,10
322,36,TLAHUALILO,10
323,37,TOPIA,10
324,38,VICENTE GUERRERO,10
325,39,NUEVO IDEAL,10
326,1,ABASOLO,11
327,2,ACÁMBARO,11
328,3,SAN MIGUEL DE ALLENDE,11
329,4,APASEO EL ALTO,11
330,5,APASEO EL GRANDE,11
331,6,ATARJEA,11
332,7,CELAYA,11
333,8,MANUEL DOBLADO,11
334,9,COMONFORT,11
335,10,CORONEO,11
336,11,CORTAZAR,11
337,12,CUERÁMARO,11
338,13,DOCTOR MORA,11
339,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACI,11
340,15,GUANAJUATO,11
341,16,HUANÍMARO,11
342,17,IRAPUATO,11
343,18,JARAL DEL PROGRESO,11
344,19,JERÉCUARO,11
345,20,LEÓN,11
346,21,MOROLEÓN,11
347,22,OCAMPO,11
348,23,PÉNJAMO,11
349,24,PUEBLO NUEVO,11
350,25,PURÍSIMA DEL RINCÓN,11
351,26,ROMITA,11
352,27,SALAMANCA,11
353,28,SALVATIERRA,11
354,29,SAN DIEGO DE LA UNIÓN,11
355,30,SAN FELIPE,11
356,31,SAN FRANCISCO DEL RINCÓN,11
357,32,SAN JOSÉ ITURBIDE,11
358,33,SAN LUIS DE LA PAZ,11
359,34,SANTA CATARINA,11
360,35,SANTA CRUZ DE JUVENTINO ROSAS,11
361,36,SANTIAGO MARAVATÍO,11
362,37,SILAO DE LA VICTORIA,11
363,38,TARANDACUAO,11
364,39,TARIMORO,11
365,40,TIERRA BLANCA,11
366,41,URIANGATO,11
367,42,VALLE DE SANTIAGO,11
368,43,VICTORIA,11
369,44,VILLAGRÁN,11
370,45,XICHÚ,11
371,46,YURIRIA,11
372,1,ACAPULCO DE JUÁREZ,12
373,2,AHUACUOTZINGO,12
374,3,AJUCHITLÁN DEL PROGRESO,12
375,4,ALCOZAUCA DE GUERRERO,12
376,5,ALPOYECA,12
377,6,APAXTLA,12
378,7,ARCELIA,12
379,8,ATENANGO DEL RÍO,12
380,9,ATLAMAJALCINGO DEL MONTE,12
381,10,ATLIXTAC,12
382,11,ATOYAC DE ÁLVAREZ,12
383,12,AYUTLA DE LOS LIBRES,12
384,13,AZOYÚ,12
385,14,BENITO JUÁREZ,12
386,15,BUENAVISTA DE CUÉLLAR,12
387,16,COAHUAYUTLA DE JOSÉ MARÍA IZAZAGA,12
388,17,COCULA,12
389,18,COPALA,12
390,19,COPALILLO,12
391,20,COPANATOYAC,12
392,21,COYUCA DE BENÍTEZ,12
393,22,COYUCA DE CATALÁN,12
394,23,CUAJINICUILAPA,12
395,24,CUALÁC,12
396,25,CUAUTEPEC,12
397,26,CUETZALA DEL PROGRESO,12
398,27,CUTZAMALA DE PINZÓN,12
399,28,CHILAPA DE ÁLVAREZ,12
400,29,CHILPANCINGO DE LOS BRAVO,12
401,30,FLORENCIO VILLARREAL,12
402,31,GENERAL CANUTO A. NERI,12
403,32,GENERAL HELIODORO CASTILLO,12
404,33,HUAMUXTITLÁN,12
405,34,HUITZUCO DE LOS FIGUEROA,12
406,35,IGUALA DE LA INDEPENDENCIA,12
407,36,IGUALAPA,12
408,37,IXCATEOPAN DE CUAUHTÉMOC,12
409,38,ZIHUATANEJO DE AZUETA,12
410,39,JUAN R. ESCUDERO,12
411,40,LEONARDO BRAVO,12
412,41,MALINALTEPEC,12
413,42,MÁRTIR DE CUILAPAN,12
414,43,METLATÓNOC,12
415,44,MOCHITLÁN,12
416,45,OLINALÁ,12
417,46,OMETEPEC,12
418,47,PEDRO ASCENCIO ALQUISIRAS,12
419,48,PETATLÁN,12
420,49,PILCAYA,12
421,50,PUNGARABATO,12
422,51,QUECHULTENANGO,12
423,52,SAN LUIS ACATLÁN,12
424,53,SAN MARCOS,12
425,54,SAN MIGUEL TOTOLAPAN,12
426,55,TAXCO DE ALARCÓN,12
427,56,TECOANAPA,12
428,57,TÉCPAN DE GALEANA,12
429,58,TELOLOAPAN,12
430,59,TEPECOACUILCO DE TRUJANO,12
431,60,TETIPAC,12
432,61,TIXTLA DE GUERRERO,12
433,62,TLACOACHISTLAHUACA,12
434,63,TLACOAPA,12
435,64,TLALCHAPA,12
436,65,TLALIXTAQUILLA DE MALDONADO,12
437,66,TLAPA DE COMONFORT,12
438,67,TLAPEHUALA,12
439,68,LA UNIÓN DE ISIDORO MONTES DE OCA,12
440,69,XALPATLÁHUAC,12
441,70,XOCHIHUEHUETLÁN,12
442,71,XOCHISTLAHUACA,12
443,72,ZAPOTITLÁN TABLAS,12
444,73,ZIRÁNDARO,12
445,74,ZITLALA,12
446,75,EDUARDO NERI,12
447,76,ACATEPEC,12
448,77,MARQUELIA,12
449,78,COCHOAPA EL GRANDE,12
450,79,JOSÉ JOAQUÍN DE HERRERA,12
451,80,JUCHITÁN,12
452,81,ILIATENCO,12
453,1,ACATLÁN,13
454,2,ACAXOCHITLÁN,13
455,3,ACTOPAN,13
456,4,AGUA BLANCA DE ITURBIDE,13
457,5,AJACUBA,13
458,6,ALFAJAYUCAN,13
459,7,ALMOLOYA,13
460,8,APAN,13
461,9,EL ARENAL,13
462,10,ATITALAQUIA,13
463,11,ATLAPEXCO,13
464,12,ATOTONILCO EL GRANDE,13
465,13,ATOTONILCO DE TULA,13
466,14,CALNALI,13
467,15,CARDONAL,13
468,16,CUAUTEPEC DE HINOJOSA,13
469,17,CHAPANTONGO,13
470,18,CHAPULHUACÁN,13
471,19,CHILCUAUTLA,13
472,20,ELOXOCHITLÁN,13
473,21,EMILIANO ZAPATA,13
474,22,EPAZOYUCAN,13
475,23,FRANCISCO I. MADERO,13
476,24,HUASCA DE OCAMPO,13
477,25,HUAUTLA,13
478,26,HUAZALINGO,13
479,27,HUEHUETLA,13
480,28,HUEJUTLA DE REYES,13
481,29,HUICHAPAN,13
482,30,IXMIQUILPAN,13
483,31,JACALA DE LEDEZMA,13
484,32,JALTOCÁN,13
485,33,JUÁREZ HIDALGO,13
486,34,LOLOTLA,13
487,35,METEPEC,13
488,36,SAN AGUSTÍN METZQUITITLÁN,13
489,37,METZTITLÁN,13
490,38,MINERAL DEL CHICO,13
491,39,MINERAL DEL MONTE,13
492,40,LA MISIÓN,13
493,41,MIXQUIAHUALA DE JUÁREZ,13
494,42,MOLANGO DE ESCAMILLA,13
495,43,NICOLÁS FLORES,13
496,44,NOPALA DE VILLAGRÁN,13
497,45,OMITLÁN DE JUÁREZ,13
498,46,SAN FELIPE ORIZATLÁN,13
499,47,PACULA,13
500,48,PACHUCA DE SOTO,13
501,49,PISAFLORES,13
502,50,PROGRESO DE OBREGÓN,13
503,51,MINERAL DE LA REFORMA,13
504,52,SAN AGUSTÍN TLAXIACA,13
505,53,SAN BARTOLO TUTOTEPEC,13
506,54,SAN SALVADOR,13
507,55,SANTIAGO DE ANAYA,13
508,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,13
509,57,SINGUILUCAN,13
510,58,TASQUILLO,13
511,59,TECOZAUTLA,13
512,60,TENANGO DE DORIA,13
513,61,TEPEAPULCO,13
514,62,TEPEHUACÁN DE GUERRERO,13
515,63,TEPEJI DEL RÍO DE OCAMPO,13
516,64,TEPETITLÁN,13
517,65,TETEPANGO,13
518,66,VILLA DE TEZONTEPEC,13
519,67,TEZONTEPEC DE ALDAMA,13
520,68,TIANGUISTENGO,13
521,69,TIZAYUCA,13
522,70,TLAHUELILPAN,13
523,71,TLAHUILTEPA,13
524,72,TLANALAPA,13
525,73,TLANCHINOL,13
526,74,TLAXCOAPAN,13
527,75,TOLCAYUCA,13
528,76,TULA DE ALLENDE,13
529,77,TULANCINGO DE BRAVO,13
530,78,XOCHIATIPAN,13
531,79,XOCHICOATLÁN,13
532,80,YAHUALICA,13
533,81,ZACUALTIPÁN DE ÁNGELES,13
534,82,ZAPOTLÁN DE JUÁREZ,13
535,83,ZEMPOALA,13
536,84,ZIMAPÁN,13
537,1,ACATIC,14
538,2,ACATLÁN DE JUÁREZ,14
539,3,AHUALULCO DE MERCADO,14
540,4,AMACUECA,14
541,5,AMATITÁN,14
542,6,AMECA,14
543,7,SAN JUANITO DE ESCOBEDO,14
544,8,ARANDAS,14
545,9,EL ARENAL,14
546,10,ATEMAJAC DE BRIZUELA,14
547,11,ATENGO,14
548,12,ATENGUILLO,14
549,13,ATOTONILCO EL ALTO,14
550,14,ATOYAC,14
551,15,AUTLÁN DE NAVARRO,14
552,16,AYOTLÁN,14
553,17,AYUTLA,14
554,18,LA BARCA,14
555,19,BOLAÑOS,14
556,20,CABO CORRIENTES,14
557,21,CASIMIRO CASTILLO,14
558,22,CIHUATLÁN,14
559,23,ZAPOTLÁN EL GRANDE,14
560,24,COCULA,14
561,25,COLOTLÁN,14
562,26,CONCEPCIÓN DE BUENOS AIRES,14
563,27,CUAUTITLÁN DE GARCÍA BARRAGÁN,14
564,28,CUAUTLA,14
565,29,CUQUÍO,14
566,30,CHAPALA,14
567,31,CHIMALTITÁN,14
568,32,CHIQUILISTLÁN,14
569,33,DEGOLLADO,14
570,34,EJUTLA,14
571,35,ENCARNACIÓN DE DÍAZ,14
572,36,ETZATLÁN,14
573,37,EL GRULLO,14
574,38,GUACHINANGO,14
575,39,GUADALAJARA,14
576,40,HOSTOTIPAQUILLO,14
577,41,HUEJÚCAR,14
578,42,HUEJUQUILLA EL ALTO,14
579,43,LA HUERTA,14
580,44,IXTLAHUACÁN DE LOS MEMBRILLOS,14
581,45,IXTLAHUACÁN DEL RÍO,14
582,46,JALOSTOTITLÁN,14
583,47,JAMAY,14
584,48,JESÚS MARÍA,14
585,49,JILOTLÁN DE LOS DOLORES,14
586,50,JOCOTEPEC,14
587,51,JUANACATLÁN,14
588,52,JUCHITLÁN,14
589,53,LAGOS DE MORENO,14
590,54,EL LIMÓN,14
591,55,MAGDALENA,14
592,56,SANTA MARÍA DEL ORO,14
593,57,LA MANZANILLA DE LA PAZ,14
594,58,MASCOTA,14
595,59,MAZAMITLA,14
596,60,MEXTICACÁN,14
597,61,MEZQUITIC,14
598,62,MIXTLÁN,14
599,63,OCOTLÁN,14
600,64,OJUELOS DE JALISCO,14
601,65,PIHUAMO,14
602,66,PONCITLÁN,14
603,67,PUERTO VALLARTA,14
604,68,VILLA PURIFICACIÓN,14
605,69,QUITUPAN,14
606,70,EL SALTO,14
607,71,SAN CRISTÓBAL DE LA BARRANCA,14
608,72,SAN DIEGO DE ALEJANDRÍA,14
609,73,SAN JUAN DE LOS LAGOS,14
610,74,SAN JULIÁN,14
611,75,SAN MARCOS,14
612,76,SAN MARTÍN DE BOLAÑOS,14
613,77,SAN MARTÍN HIDALGO,14
614,78,SAN MIGUEL EL ALTO,14
615,79,GÓMEZ FARÍAS,14
616,80,SAN SEBASTIÁN DEL OESTE,14
617,81,SANTA MARÍA DE LOS ÁNGELES,14
618,82,SAYULA,14
619,83,TALA,14
620,84,TALPA DE ALLENDE,14
621,85,TAMAZULA DE GORDIANO,14
622,86,TAPALPA,14
623,87,TECALITLÁN,14
624,88,TECOLOTLÁN,14
625,89,TECHALUTA DE MONTENEGRO,14
626,90,TENAMAXTLÁN,14
627,91,TEOCALTICHE,14
628,92,TEOCUITATLÁN DE CORONA,14
629,93,TEPATITLÁN DE MORELOS,14
630,94,TEQUILA,14
631,95,TEUCHITLÁN,14
632,96,TIZAPÁN EL ALTO,14
633,97,TLAJOMULCO DE ZÚÑIGA,14
634,98,SAN PEDRO TLAQUEPAQUE,14
635,99,TOLIMÁN,14
636,100,TOMATLÁN,14
637,101,TONALÁ,14
638,102,TONAYA,14
639,103,TONILA,14
640,104,TOTATICHE,14
641,105,TOTOTLÁN,14
642,106,TUXCACUESCO,14
643,107,TUXCUECA,14
644,108,TUXPAN,14
645,109,UNIÓN DE SAN ANTONIO,14
646,110,UNIÓN DE TULA,14
647,111,VALLE DE GUADALUPE,14
648,112,VALLE DE JUÁREZ,14
649,113,SAN GABRIEL,14
650,114,VILLA CORONA,14
651,115,VILLA GUERRERO,14
652,116,VILLA HIDALGO,14
653,117,CAÑADAS DE OBREGÓN,14
654,118,YAHUALICA DE GONZÁLEZ GALLO,14
655,119,ZACOALCO DE TORRES,14
656,120,ZAPOPAN,14
657,121,ZAPOTILTIC,14
658,122,ZAPOTITLÁN DE VADILLO,14
659,123,ZAPOTLÁN DEL REY,14
660,124,ZAPOTLANEJO,14
661,125,SAN IGNACIO CERRO GORDO,14
662,1,ACAMBAY DE RUÍZ CASTAÑEDA,15
663,2,ACOLMAN,15
664,3,ACULCO,15
665,4,ALMOLOYA DE ALQUISIRAS,15
666,5,ALMOLOYA DE JUÁREZ,15
667,6,ALMOLOYA DEL RÍO,15
668,7,AMANALCO,15
669,8,AMATEPEC,15
670,9,AMECAMECA,15
671,10,APAXCO,15
672,11,ATENCO,15
673,12,ATIZAPÁN,15
674,13,ATIZAPÁN DE ZARAGOZA,15
675,14,ATLACOMULCO,15
676,15,ATLAUTLA,15
677,16,AXAPUSCO,15
678,17,AYAPANGO,15
679,18,CALIMAYA,15
680,19,CAPULHUAC,15
681,20,COACALCO DE BERRIOZÁBAL,15
682,21,COATEPEC HARINAS,15
683,22,COCOTITLÁN,15
684,23,COYOTEPEC,15
685,24,CUAUTITLÁN,15
686,25,CHALCO,15
687,26,CHAPA DE MOTA,15
688,27,CHAPULTEPEC,15
689,28,CHIAUTLA,15
